INSTRUCTION,OPCODE,FUNCT3 ,FUNCT7,,CSRType,SwapCSR ,Instruction_Type,Rem_Instr,Div_Instr,Mult_Instr,Sign_or_Un,Immediate_Calc,PC_Select,JAL,LD_or_ALU,B_H_W,Write_Mem_En,Write_Reg,ALUCode,SHFCode,Imm_Or_Reg,,,NOTES: 
ADDI ,"""0010011""","""000""",X,,X,0,"""00""",X,X,X,0,"""000""",0,0,0,0,0,1,"""000""","""00""",1,,,- Bit 5 tells us if it's an I-type instruction (0) or an R-type instruction (1)
ADD,"""0110011""","""000""","""0000000""",,X,0,"""00""",X,X,X,0,X,0,0,0,0,0,1,"""000""","""00""",0,,,- All operations with the same FUNCT3 code will perform the same operation in the ALU 
SUB,"""0110011""","""000""","""0100000""",,X,0,"""00""",X,X,X,0,X,0,0,0,0,0,1,"""001""","""00""",0,,,"- FUNCT7 will then be further used for small alterations to the source (only notable example right now is SUB vs ADD, as well as SRA vs SRL)"
AUIPC ,"""0010111""",X,X,,,,,,,,,,,,,,,,"""000""","""00""",,,,- All R-type instructions have op-code: 0110011
,,,,,,,,,,,,,,,,,,,,,,,,- Notice how SLL and SLLI are slightly different from SRA/SRAI/SRL/SRLI
AND ,"""0110011""","""111""","""0000000""",,X,0,"""00""",X,X,X,0,X,0,0,0,0,0,1,"""010""","""00""",0,,,- Notice the funct7 of immediate logical shifts have a don't care as its first bit
ANDI,"""0010011""","""111""",X,,X,0,"""00""",X,X,X,0,"""000""",0,0,0,0,0,1,"""010""","""00""",1,,,- Notice that signed and unsigned SLT instructions have different opcodes
,,,,,,,,,,,,,,,,,,,,,,,,- JAL and JALR do not have that much in common at first glance
XOR ,"""0110011""","""100""","""0000000""",,X,0,"""00""",X,X,X,0,X,0,0,0,0,0,1,"""011""","""00""",0,,,- Branch instructions just differ on FUNCT3
XORI,"""0010011""","""100""",X,,X,0,"""00""",X,X,X,0,"""000""",0,0,0,0,0,1,"""011""","""00""",1,,,- Branch instructions and ALU instructions share FUNCT3 codes
,,,,,,,,,,,,,,,,,,,,,,,,
OR,"""0110011""","""110""","""0000000""",,X,0,"""00""",X,X,X,0,X,0,0,0,0,0,1,"""100""","""00""",0,,,
ORI,"""0010011""","""110""",X,,X,0,"""00""",X,X,X,0,"""000""",0,0,0,0,0,1,"""100""","""00""",1,,,
,,,,,,,,,,,,,,,,,,,,,,,,
SRA,"""0110011""","""101""","""0100000""",,X,0,"""00""",X,X,X,0,X,0,0,0,0,0,1,X (use SHF),"""11""",0,,,
SRAI,"""0010011""","""101""","""010000X""",,X,0,"""00""",X,X,X,0,"""001""",0,0,0,0,0,1,X,"""11""",1,,,
SRL ,"""0110011""","""101""","""0000000""",,X,0,"""00""",X,X,X,0,X,0,0,0,0,0,1,X,"""10""",0,,,
SRLI,"""0010011""","""101""","""000000X""",,X,0,"""00""",X,X,X,0,"""001""",0,0,0,0,0,1,X,"""10""",1,,,
SLL ,"""0110011""","""001""","""0000000""",,X,0,"""00""",X,X,X,0,X,0,0,0,0,0,1,X,"""01""",0,,,
SLLI,"""0010011""","""001""","""000000X""",,X,0,"""00""",X,X,X,0,"""001""",0,0,0,0,0,1,X,"""01""",1,,,
,,,,,,,,,,,,,,,,,,,,,,,,
SLTI,"""0010011""","""010""",X,,X,0,"""00""",X,X,X,0,"""000""",0,0,0,0,0,1,"""101""","""00""",1,,,
SLTIU,"""0010011""","""011""",X,,X,0,"""00""",X,X,X,1,"""000""",0,0,0,0,0,1,"""101""","""00""",1,,,
SLTU,"""0110011""","""011""","""0000000""",,X,0,"""00""",X,X,X,1,X,0,0,0,0,0,1,"""101""","""00""",0,,,
SLT,"""0110011""","""010""","""0000000""",,X,0,"""00""",X,X,X,0,X,0,0,0,0,0,1,"""101""","""00""",0,,,
,,,,,,,,,,,,,,,,,,,,,,,,
LB,"""0000011""","""000""",X,,X,0,"""00""",X,X,X,0,"""000""",0,0,1,0,0,1,"""000""","""00""",1,,,
LH,"""0000011""","""001""",X,,X,0,"""00""",X,X,X,0,"""000""",0,0,1,0,0,1,"""000""","""00""",1,,,
LW ,"""0000011""","""010""",X,,X,0,"""00""",X,X,X,0,"""000""",0,0,1,0,0,1,"""000""","""00""",1,,,
LBU ,"""0000011""","""100""",X,,X,0,"""00""",X,X,X,1,"""000""",0,0,1,0,0,1,"""000""","""00""",1,,,
LHU,"""0000011""","""101""",X,,X,0,"""00""",X,X,X,1,"""000""",0,0,1,0,0,1,"""000""","""00""",1,,,
,,,,,,,,,,,,,,,,,,,,,,,,
SB,"""0100011""","""000""",X,,X,0,"""00""",X,X,X,0,"""010""",0,0,0,"""01""",1,0,"""000""","""00""",1,,,
SH,"""0100011""","""001""",X,,X,0,"""00""",X,X,X,0,"""010""",0,0,0,"""10""",1,0,"""000""","""00""",1,,,
SW,"""0100011""","""010""",X,,X,0,"""00""",X,X,X,0,"""010""",0,0,0,"""11""",1,0,"""000""","""00""",1,,,
,,,,,,,,,,,,,,,,,,,,,,,,
JAL,"""1101111""",X,X,,X,0,"""00""",X,X,X,0,"""100""","""001""",1,0,0,0,0,"""000""","""00""",0,,,
JALR,"""1100111""","""000""",X,,X,0,"""00""",X,X,X,0,"""100""","""001""",1,0,0,0,0,"""000""","""00""",0,,,
,,,,,,,,,,,,,,,,,,,,,,,,
BEQ,"""1100011""","""000""",X,,X,0,"""00""",X,X,X,0,"""011""","""010""",0,0,0,0,0,"""000""","""00""",0,,,
